sub,run,regressor,VIF
6,15,Face Perception,2.2584448327044764
6,15,Scene Perception,1.9381482123949936
6,15,Face WM,1.9786299287819376
6,15,Scene WM,1.6699616678576237
6,16,Face Perception,2.369104778370926
6,16,Scene Perception,2.098707110970244
6,16,Face WM,1.9156338711105574
6,16,Scene WM,2.0323742041040274
6,17,Face Perception,2.171115015679082
6,17,Scene Perception,2.3310818060622425
6,17,Face WM,1.8343507054184653
6,17,Scene WM,1.9680121855669332
6,18,Face Perception,2.0557453924954605
6,18,Scene Perception,2.123539087539866
6,18,Face WM,1.9110346058067653
6,18,Scene WM,2.025529682663342
6,19,Face Perception,2.0572049546952282
